DATE,USD-BRL
2018-04,"3,41"
2018-05,"3,64"
2018-06,"3,77"
2018-07,"3,83"
2018-08,"3,93"
2018-09,"4,12"
2018-10,"3,76"
2018-11,"3,79"
2018-12,"3,88"
2019-01,"3,74"
2019-02,"3,72"
2019-03,"3,85"
2019-04,"3,9"
2019-05,4
2019-06,"3,86"
2019-07,"3,78"
2019-08,"4,02"
2019-09,"4,12"
2019-10,"4,09"
2019-11,"4,16"
2019-12,"4,11"
2020-01,"4,15"
2020-02,"4,34"
2020-03,"4,88"
2020-04,"5,33"
2020-05,"5,64"
2020-06,"5,2"
2020-07,"5,28"
2020-08,"5,46"
2020-09,"5,4"
2020-10,"5,63"
2020-11,"5,42"
2020-12,"5,15"
